Molecule ChEMBL ID,Smiles,Standard Type,Standard Units,Standard Value
CHEMBL505154,C[C@@H](NC(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCCC2CCN(Cc3ccccc3)CC2)cc([N+](=O)[O-])c1)c1ccc(F)cc1,IC50,nM,2682.0
CHEMBL3657457,COc1cccc(-c2ccc3c(c2)C2(CCO3)N=C(C)C(N)=N2)c1F,IC50,nM,1680.0
CHEMBL3657460,COc1ccc(F)c(-c2ccc3c(c2)C2(CCO3)N=C(C)C(N)=N2)c1,IC50,nM,1800.0
CHEMBL243148,C=C(C)[C@H](CC=C(C)C)Cc1c(O)cc(O)c2c1O[C@H](c1ccc(O)cc1O)CC2=O,IC50,nM,5200.0
CHEMBL3683831,N#Cc1ccc(C(=O)Nc2cnc(F)c([C@]3(C(F)F)N=C(N)O[C@H]4C[C@H]43)c2)nc1,IC50,nM,165.0
CHEMBL3683826,COc1cnc(C(=O)Nc2ccc(F)c([C@@]3(C(F)F)N=C(N)O[C@@H]4C[C@@H]43)c2)c(Cl)c1,IC50,nM,56.8
CHEMBL3967706,CO[C@@H]1[C@@H](C)C[C@]2(Cc3ccc(C#N)cc3[C@]23N=C(N)N(C[C@@H]2CCO2)C3=O)C[C@H]1C,IC50,nM,9.0
CHEMBL3683794,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@]3(CF)N=C(N)O[C@H]4C[C@H]43)c2)cn1,IC50,nM,6215.0
CHEMBL3673220,COC1CCC2(CC1)Cc1ccc(C#CC3CC3)cc1C21N=C(N)c2ccccc21,IC50,nM,14.5
CHEMBL3672725,CO[C@H]1CC[C@@]2(CCc3ccc(-c4cncc(Cl)c4)cc3C23N=C(C)C(N)=N3)CC1,IC50,nM,14.0
CHEMBL3640265,COc1nc(N2C[C@H]3C(=O)N(C)C(N)=N[C@@]3(c3ccc(F)cc3F)C2)nc(C2CC2)c1Cl,IC50,nM,117.0
CHEMBL3683801,COc1ccc(C(=O)Nc2cc(F)c(F)c([C@@]3(CF)N=C(N)O[C@@H]4C[C@@H]43)c2)nc1,IC50,nM,134.5
CHEMBL3683803,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,nM,22.5
CHEMBL3683791,Cc1cc(NC(=O)c2ccc(Cl)cn2)cc([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1F,IC50,nM,36.85
CHEMBL3914952,C[C@H]1SC(N)=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](C3CC3)C[C@@H]12,IC50,nM,337.0
CHEMBL3966722,COc1cccc(-c2ccc3c(c2)C2(N=C(N)N(C)C2=O)C2(CCC(OC)CC2)O3)c1,IC50,nM,28.2
CHEMBL3688619,Cc1cc(C(F)(F)F)cnc1C(=O)Nc1ccc(F)c([C@@]2(C(F)F)N=C(N)O[C@@H]3C[C@@H]32)c1,IC50,nM,40.0
CHEMBL3677242,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)c(Br)cc1O,IC50,nM,1400.0
CHEMBL3653349,Cc1nc(C(=O)Nc2cccc(C3(C)COCC(N)=N3)c2)cs1,IC50,nM,3800.0
CHEMBL1210340,CS(=O)(=O)N(c1ccccc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc2cccc(C(F)(F)F)c2)c1,IC50,nM,23.0
CHEMBL3894188,COc1cnc(C(=O)Nc2ccc3c(c2)C2(CCSC(N)=N2)c2cc(-c4ccnc(F)c4)nc(F)c2O3)cn1,IC50,nM,3.1
CHEMBL2158253,CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CNC1CC(C)(C)Oc2sc(CC(C)(C)C)cc21,IC50,nM,13.25
CHEMBL2443370,CC1=C(C(=O)Nc2nc(C)cs2)C(c2ccco2)C(C(=O)Nc2nc(C)cs2)=C(C)N1,IC50,nM,6780.0
CHEMBL2443373,CC1=C(C(=O)Nc2nc(C)cs2)C(c2ccc([N+](=O)[O-])cc2)C(C(=O)Nc2nc(C)cs2)=C(C)N1,IC50,nM,4210.0
CHEMBL2178147,CC#Cc1cncc(-c2csc([C@]34CN(C(=O)c5cccc(F)c5)C[C@H]3C(=O)N(C)C(=N)N4)c2)c1,IC50,nM,8.0
CHEMBL3763815,COc1ccc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(OCc3ccccc3)cc2)cc1,IC50,nM,2280.0
CHEMBL2349612,CN1C(=O)C2(CC(C)(C)Oc3ccc(-c4cccc(Cl)c4)cc32)N=C1N,IC50,nM,24.0
CHEMBL2177915,CC#Cc1cncc(-c2cccc(C3(c4ccnc(C(F)F)c4)N=C(N)c4c(F)cccc43)c2)c1,IC50,nM,4.73
CHEMBL2437446,CCCOc1cccc(-c2cccc([C@@H]3C[C@H]3[C@]3(C)CC(=O)N(C)C(N)=N3)c2)c1.O=C(O)C(F)(F)F,IC50,nM,8400.0
CHEMBL1210433,CS(=O)(=O)N(c1ccccc1)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC2CC2)c1,IC50,nM,440.0
CHEMBL211563,CCC[C@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCC(C)C,IC50,nM,10.5
CHEMBL3086250,O=C(N[C@H](C(=O)Nc1cccc([C@@H](O)CN[C@H](CO)Cc2ccccc2)c1)c1ccccc1)OCc1ccccc1,IC50,nM,7500.0
CHEMBL3394045,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc([C@H]3CCCCO3)cc12,IC50,nM,8.25
CHEMBL1090119,CCCCOc1ccc(-c2ccc(-c3ccccc3Cl)n2Cc2cccc(N)n2)cc1,IC50,nM,1650.0
CHEMBL1270029,CN1C(=O)[C@@](c2ccc(OC(F)F)cc2)(c2ccc(F)c(OCCCF)c2)N=C1N,IC50,nM,10.0
CHEMBL2346797,CC1(C)Cc2cc(Cl)ccc2C(NC(Cc2ccccc2)c2n[nH]c(=O)[nH]2)=N1,IC50,nM,3370.0
CHEMBL253031,N=C(N)NC(=O)Cn1c(-c2ccc(Oc3ccccc3)cc2)ccc1-c1cccc(F)c1,IC50,nM,1400.0
CHEMBL2031000,CC(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)CN[C@H]1C[C@]2(CC[C@@H]2C)Oc2ncc(CC(C)(C)C)cc21,IC50,nM,7.0
CHEMBL244416,CCN(Cc1ccccc1)Cc1ccc(-c2cc3cc(OC)c(OC)cc3oc2=O)cc1,IC50,nM,238.0
CHEMBL428870,CCCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,IC50,nM,45.0
CHEMBL235853,CC1CCc2cccc(c2)C[C@@](C)(N)C(=O)OCc2cc(nc(N(C)S(C)(=O)=O)c2)CC1,IC50,nM,1800.0
CHEMBL3653424,NC1=N[C@](CF)(c2cc(NC(=O)c3ncc(Br)cc3O)ccc2F)COC1,IC50,nM,22.0
CHEMBL252459,CCCCCC(C)(C)NC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(NCC)cc(N2CCCC2=O)c1,IC50,nM,550.0
CHEMBL3653406,COCCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(C)CO[C@@](C)(C(F)(F)F)C(N)=N3)c2)cn1,IC50,nM,79.0
CHEMBL3670310,Cc1cnc(C(=O)Nc2cccc(C3(C(F)(F)F)CCSC(N)=N3)c2)cn1,IC50,nM,2130.0
CHEMBL3986979,COc1cnc(C(=O)Nc2ccc3c(c2)C2(CCOC(N)=N2)c2cc(C4CC4)nc(F)c2O3)cn1,IC50,nM,5.0
CHEMBL3670333,C=C1C[C@@](C)(c2cncc(NC(=O)c3cnc(OC)cn3)c2)N=C(N)S1,IC50,nM,63.0
CHEMBL3653509,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@]2(CF)COCC(N)=N2)c1,IC50,nM,6.5
CHEMBL3653491,Cc1nc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)COCC(N)=N3)c2)c(N)o1,IC50,nM,260.0
CHEMBL3672423,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(N(C)C)cc2[N+](=O)[O-])ccc1O,IC50,nM,1500.0
CHEMBL3657454,CC1=NC2(CCOc3ccc(-c4cccc(F)c4F)cc32)N=C1N,IC50,nM,4250.0
CHEMBL3672428,COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(N(C)C)cc2[N+](=O)[O-])cc1O,IC50,nM,1200.0
CHEMBL3983379,CO[C@H]1CC[C@]2(CC1)Cc1ccc(NC(=O)c3ccc(C(F)(F)F)cn3)cc1C21N=C(C)C(N)=N1,IC50,nM,34.0
CHEMBL3673189,N#Cc1cc(C23CO[C@@H](CO)C[C@H]2CSC(N)=N3)c(F)cc1F,IC50,nM,5550.0
CHEMBL3653447,CCOc1ccc(C(=O)Nc2ccc(F)c([C@]3(C(F)F)COCC(N)=N3)c2)nc1,IC50,nM,180.0
CHEMBL3656132,COC1CCC2(CC1)Cc1ccc(-c3cccc(OC(F)(F)F)c3)cc1C21N=C(N)N(C)C1=O,IC50,nM,7.8
CHEMBL3941774,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCc3ccccc3)cc1C21N=C(N)N(C)O1,IC50,nM,890.0
CHEMBL3105738,COc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)Nc2cccc(-c3nn[nH]n3)c2)nc(C(=O)N2COC[C@@H]2c2ccccc2)c1,IC50,nM,151.0
CHEMBL3645150,C/C=C/COc1ccc(C(=O)Nc2cccc([C@]3(C)CCSC(N)=N3)c2)nc1,IC50,nM,100.0
CHEMBL3657432,COc1cc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC[C@H](OC(F)F)CC2)C3)cc(C#N)c1F,IC50,nM,24.0
CHEMBL3672435,COc1ccc(O)c(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)cc2)c1,IC50,nM,960.0
CHEMBL3672436,COc1ccc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)c(O)c1,IC50,nM,1200.0
CHEMBL3394213,Cc1ccc(-c2cc3c(c(F)n2)Oc2ccc(-c4cccnc4F)cc2[C@@]32COC(N)=N2)cn1,IC50,nM,3.2
CHEMBL3639550,CN1OC2(N=C1N)c1cc(-c3ccc(F)c(Cl)c3)ccc1CC21CCc2ccccc2CC1,IC50,nM,20.7
CHEMBL3691383,NC1=N[C@@]2(c3ccc(F)cc3F)CO[C@@H](CO)C[C@H]2CS1,IC50,nM,2270.0
CHEMBL3892262,CO[C@H]1CC[C@@]2(Cc3ccc(C#N)cc3[C@]23N=C(N)N(Cc2ccncn2)C3=O)C[C@@H]1C,IC50,nM,9.0
CHEMBL3394058,NC1=N[C@]2(CO1)c1cc(C3=CCOCC3)ccc1Oc1ccc(-c3cccnc3F)cc12,IC50,nM,10.55
CHEMBL3672439,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2c(O)cccc2OC)ccc1O,IC50,nM,1400.0
